x,y,ar,
-58.799999,-30.6,-9.6,-2.05063685927758
-59.25,-29.549999,-10.05,-2.03343075140067
-58.5,-29.700001,-10.8,-2.04057884174451
-58.799999,-30.299999,-9.9,-2.04661371384562
-58.950001,-31.049999,-10.05,-2.05558879987605
-58.950001,-31.049999,-10.05,-2.05558879987605
-58.950001,-31.049999,-10.05,-2.05558879987605
-58.950001,-31.049999,-10.05,-2.05558879987605
-58.950001,-31.049999,-10.05,-2.05558879987605
-58.950001,-31.049999,-10.05,-2.05558879987605
-58.799999,-31.200001,-10.2,-2.05863278576653
-59.25,-31.950001,-9.15,-2.0653413911797
-59.549999,-29.25,-10.35,-2.02736620420747
-58.799999,-30,-9.6,-2.04257384486042
-59.849998,-30.15,-10.35,-2.03744694319842
-59.549999,-29.85,-10.35,-2.03545099152787
-59.700001,-30.6,-9.9,-2.04444359568305
-59.700001,-30.6,-9.9,-2.04444359568305
-59.700001,-30.6,-9.9,-2.04444359568305
